"","SC","rha_prop","any.nac.prop","n_isolates","n_serotypes","serotypes"
"1",7,1,0,217,3,"23F_23A_23B"
"2",24,1,0.0267857142857143,113,6,"6B_19A_6C_6A_23F_23B"
"3",33,1,0.016304347826087,184,4,"16F_19F_19A_6B"
"4",37,1,0,216,5,"6B_6A_6C_6D_23F"
"5",41,1,0,129,3,"6A_6B_23B"
"6",44,1,0.925233644859813,107,3,"19F_24F_19A"
"7",58,1,0.0785714285714286,140,3,"6B_6A_19A"
"8",68,1,0,75,3,"18C_18B_17F"
"9",76,1,0.0175438596491228,57,4,"6B_6C_6A_19F"
"10",105,1,0,60,3,"6A_6B_6D"
"11",189,1,0,50,3,"6A_6B_6C"
"12",624,1,0.0185185185185185,55,3,"23F_19F_23B"
"13",17,0.997368421052632,1,380,3,"19A_19F_9L"
"14",1,0.996511627906977,0.994186046511628,860,6,"19F_19A_14_6C_23F_3"
"15",21,0.996363636363636,0.996363636363636,275,4,"19F_19A_23F_14"
"16",23,0.995584988962472,0.00883002207505519,453,5,"6B_6A_35B_19A_11A"
"17",14,0.992063492063492,0.0264550264550265,379,7,"23F_23B_6B_14_19F_19A_11A"
"18",62,0.990740740740741,0,108,3,"6A_35F_6B"
"19",19,0.984615384615385,0,131,4,"22F_31_23B_42"
"20",103,0.971830985915493,0.0563380281690141,71,4,"14_16F_3_19F"
"21",13,0.967741935483871,0.032258064516129,465,9,"6A_6C_35B_6B_29_6D_15A_23F_14"
"22",47,0.967532467532468,0.0324675324675325,154,5,"6B_6C_6A_9V_9A"
"23",4,0.967032967032967,1,371,5,"14_15B/15C_19A_19F_19B"
"24",67,0.950980392156863,0,102,3,"18C_18B_21"
"25",50,0.947368421052632,0.0526315789473684,95,5,"18B_18C_17F_13_9V"
"26",94,0.931034482758621,0.241379310344828,58,5,"23F_19A_19F_13_10A"
"27",101,0.912280701754386,0.385964912280702,60,8,"15A_19F_23F_23B_19B_22F_14_13"
"28",5,0.737037037037037,0.627777777777778,654,22,"23B_23A_19A_6C_35B_19F_23F_15B/15C_23B1_24F_6A_7B_7C_46_3_19B_29_35D_6B_15A_17F_35F"
"29",40,0.727272727272727,0.246753246753247,196,14,"22A_18C_15B/15C_23F_17F_11A_23A_6B_22F_19A_6A_35F_10A_15A"
"30",16,0.717703349282297,0.430622009569378,428,14,"14_24F_23F_19F_9N_19A_18C_13_15A_7C_40_6A_15B/15C_6D"
"31",61,0.606896551724138,0.4,160,13,"18A_17F_9V_22F_35C_20A_20_18C_11A_20B_41F_18B_35A"
"32",10,0.589509692132269,0.581527936145952,894,17,"14_19A_19F_3_24F_7B_17F_23F_10A_6C_23A_15B/15C_6A_13_23B_11A_22F"
"33",56,0.525,0.816666666666667,120,5,"7F_18C_19F_18B_12F"
"34",32,0.5,0.983695652173913,184,4,"12F_9N_7F_8"
"35",11,0.477678571428571,0.1875,288,18,"18C_21_15B/15C_15A_19A_11A_18A_18B_35B_3_6A_17F_9N_COVERAGE TOO LOW_33C_19F_14_29"
"36",NA,0.404255319148936,0.446808510638298,152,36,"9N_6A_19A_6B_4_35F_12F_19F_13_1_5_10A_23F_7F_7B_24F_15B/15C_35B_40_14_38_28F_15A_23B_23A_9V_16F_35A_18C_3_10B_22A_18A_10F_8_29"
"37",27,0.32183908045977,0.994252873563218,174,5,"4_19A_14_6B_19F"
"38",6,0.265822784810127,0.724331926863572,720,13,"9V_19F_19A_15B/15C_14_35B_15A_23B_24F_23A_23F_11A_6A"
"39",91,0.25,0.5,52,8,"23F_40_35B_20_24A_35D_7C_19B"
"40",112,0.25,1,65,4,"13_15B/15C_19A_9L"
"41",3,0.113526570048309,0.0072463768115942,414,10,"18C_11A_33F_8_22F_3_15A_33A_31_23F"
"42",18,0.109422492401216,0.966565349544073,344,7,"14_7C_19F_16F_19A_24F_UNTYPABLE"
"43",9,0.0996240601503759,0.958646616541353,556,15,"14_15A_19A_3_19F_23F_33F_UNTYPABLE_6B_11A_COVERAGE TOO LOW_ALTERNATIVE_ALIB_NT_15B/15C_23B_10B"
"44",80,0.0888888888888889,0.944444444444444,91,7,"13_15A_19A_16F_19F_7C_21"
"45",88,0.0681818181818182,0.954545454545455,67,6,"9L_7C_15B/15C_19A_21_46"
"46",79,0.0428571428571429,1,70,4,"4_19F_14_19A"
"47",30,0.0412371134020619,0.95360824742268,194,10,"10B_10A_6A_10F_19F_33D_35F_35B_6B_9V"
"48",43,0.0309278350515464,0.572164948453608,198,11,"9V_11A_18C_19A_35A_3_18F_20_20B_11C_19F"
"49",34,0.0225225225225225,0.0045045045045045,222,4,"34_22F_15A_23F"
"50",54,0.0222222222222222,0.977777777777778,135,3,"9V_28F_23F"
"51",22,0.0135135135135135,0.408783783783784,300,11,"9V_15A_11A_11E_20A_19F_19A_6A_15B/15C_20_35A"
"52",45,0.0135135135135135,0,74,3,"34_6C_35F"
"53",26,0,1,337,8,"9L_46_12B_12F_12A_15A_9V_40"
